x,y
1924473.3607375098,967703.6558028781
1924473.3719147935,967703.7178787026
1924473.3808667632,967703.7675889106
1924473.390309266,967703.8240468326
1924473.4007353159,967703.886676748
1924473.4093502949,967703.9366950955
1924473.4198831748,967703.9984177301
1924473.43049004,967704.0610483403
1924473.4362377694,967704.0977083816
1924473.4470788597,967704.1665699803
1924473.457535289,967704.228024137
1924473.4674216127,967704.2899505647
1924473.4765324686,967704.3520184011
1924473.484090795,967704.4014137837
1924473.491725653,967704.4577409377
1924473.5015341707,967704.5197495836
1924473.5110840632,967704.5818397459
1924473.5182551735,967704.631171742
1924473.527494228,967704.6934876259
1924473.535336608,967704.749588659
1924473.54346376,967704.8122096867
1924473.549831418,967704.8622399768
1924473.5580080764,967704.9254181888
1924473.5652282948,967704.9887783686
1924473.5719798217,967705.0397384667
1924473.5835441686,967705.1219707135
1924473.5893386165,967705.1732778099
1924473.597953917,967705.2365814912
1924473.606155212,967705.3000692393
1924473.6139172332,967705.3635965501
1924473.6195326278,967705.40776518
1924473.6267825058,967705.4701352619
1924473.6331259292,967705.5331207244
1924473.6398093714,967705.595014142
1924473.6465947041,967705.6572792801
1924473.6503015184,967705.694013948
1924473.6579154162,967705.7624504812
1924473.66444643,967705.8236831697
1924473.6701462506,967705.8727412928
1924473.6773738107,967705.9342035954
1924473.684034538,967705.9952923772
1924473.6899419578,967706.0507876805
1924473.6950979868,967706.1001944026
1924473.7005161417,967706.1619797804
1924473.707354494,967706.2238944253
1924473.7134960634,967706.2856413405
1924473.718108697,967706.3352935159
1924473.723807163,967706.3913862634
1924473.7304143996,967706.452949313
1924473.735754191,967706.5149613112
1924473.7419187226,967706.5774509741
1924473.7461988314,967706.6262560575
1924473.7511463063,967706.6828410069
1924473.7567250296,967706.743182948
1924473.762609733,967706.8045575398
1924473.7675663764,967706.8654540726
1924473.7720527295,967706.9143630983
1924473.7770815264,967706.9699581498
1924473.7825756664,967707.0321357778
1924473.7870573178,967707.082261924
1924473.792500995,967707.1441299199
1924473.7981459713,967707.2073808571
1924473.8034068414,967707.2697638819
1924473.8064071545,967707.302163642
1924473.8075198566,967707.315020062
